segment,buying_style
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Young Professional,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Senior Consumer,Value Driven
Young Professional,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
Senior Consumer,Value Driven
Mid-Career Professional,Value Driven
